ID,UserLanguage,Age,Gender,Educ,Educ_Mom,Country,Isolation,COVID_Concerns,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,COVID_Compliance,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,Compliance_6
130,SAR,38,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,0,21,4,5,4,4,4,28,6,5,6,1,6,4,4
131,SAR,60,Female,Up to 12 years of school,Up to 12 years of school,Argentina,2,27,5,6,5,6,5,28,6,4,5,4,5,4,4
132,SAR,48,Female,PhD/Doctorate,Some College or equivalent,Argentina,4,13,3,3,5,1,1,26,6,6,6,5,2,1,1
133,BG,67,Male,"College degree, bachelor, master",Up to 9 years of school,Bulgaria,1,26,2,6,6,6,6,26,5,5,6,2,4,4,4
134,SAR,36,Female,Up to 12 years of school,Up to 12 years of school,Argentina,NA,25,5,5,5,5,5,22,4,4,5,3,4,2,2
136,BG,64,Female,Up to 12 years of school,NA,Bulgaria,1,25,5,5,5,5,5,21,5,5,6,2,1,2,2
137,SAR,41,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,1,22,4,6,4,4,4,23,4,5,5,2,2,5,5
138,SAR,45,Female,"College degree, bachelor, master",College degree,Argentina,4,27,4,6,5,6,6,25,6,6,6,1,4,2,2
139,BG,59,Female,NA,NA,Bulgaria,NA,4,1,1,1,1,NA,13,4,3,1,3,1,1,1
140,RO,42,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Romania,1,20,4,4,4,4,4,22,5,4,5,4,2,2,2
141,SAR,33,Female,"College degree, bachelor, master",None,Argentina,4,27,3,6,6,6,6,26,6,6,6,1,3,4,4
142,SAR,48,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,6,6,NA,NA,NA,NA,30,4,6,5,5,5,5,5
143,SAR,21,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,0,28,6,6,6,5,5,29,6,6,6,NA,6,5,5
144,SAR,50,Female,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,2,29,6,6,6,6,5,30,6,6,6,2,6,4,4
145,SME,33,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,3,30,6,6,6,6,6,21,6,6,6,1,1,1,1
146,SME,43,Female,Up to 12 years of school,Up to 6 years of school,Mexico,1,28,4,6,6,6,6,25,6,6,6,4,1,2,2
147,SME,28,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,3,20,4,4,3,5,4,24,6,6,5,1,5,1,1
148,EN,41,Female,"College degree, bachelor, master",College degree,Philippines,0,30,6,6,6,6,6,27,5,5,5,5,4,3,3
149,SAR,71,Female,PhD/Doctorate,Up to 9 years of school,Argentina,1,18,1,5,1,5,6,30,6,6,6,1,6,5,5
150,BG,65,Female,NA,NA,Bulgaria,1,28,4,6,6,6,6,20,3,3,3,4,4,3,3
151,SAR,46,Female,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,1,26,5,6,5,5,5,24,2,5,5,4,5,3,3
152,SAR,37,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,1,10,2,2,3,1,2,28,6,5,2,6,4,5,5
153,SME,26,Female,"College degree, bachelor, master",PhD/Doctorate,Mexico,1,27,5,6,6,5,5,21,6,6,5,1,2,1,1
154,SAR,55,Female,Up to 12 years of school,Up to 6 years of school,Argentina,2,23,5,5,5,4,4,24,5,6,5,2,4,2,2
155,EN,60,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Australia,1,14,2,3,2,1,6,27,6,6,6,6,2,1,1
157,BG,50,Female,"College degree, bachelor, master",College degree,Bulgaria,110,16,3,3,3,3,4,24,4,4,4,4,4,4,4
160,SAR,43,Male,Up to 12 years of school,Up to 9 years of school,Argentina,2,21,4,5,5,4,3,24,5,5,4,3,4,3,3
161,SME,41,Female,PhD/Doctorate,College degree,Mexico,0,28,6,6,5,6,5,28,6,6,6,3,5,2,2
162,SAR,61,Male,Up to 6 years of school,Up to 6 years of school,Argentina,1,27,6,6,5,5,5,36,6,6,6,6,6,6,6
163,SAR,56,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,2,28,6,6,6,6,4,22,5,6,3,2,5,1,1
166,SAR,56,Male,PhD/Doctorate,Some College or equivalent,Argentina,1,27,6,6,5,5,5,25,6,6,6,1,5,1,1
167,SAR,60,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,20,5,5,5,5,NA,22,NA,5,5,3,4,5,5
168,SAR,39,Female,"College degree, bachelor, master",Some College or equivalent,Argentina,0,24,4,5,5,5,5,25,5,6,6,1,5,2,2
169,SAR,42,Male,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,0,20,4,4,4,4,4,27,5,6,5,3,5,3,3
170,SAR,56,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,11,2,2,3,2,2,25,5,5,5,5,3,2,2
171,FI,34,Female,"College degree, bachelor, master",Up to 6 years of school,Finland,NA,18,1,5,4,4,4,20,5,5,4,2,3,1,1
172,SAR,59,Female,"College degree, bachelor, master",Up to 12 years of school,Argentina,0,30,6,6,6,6,6,25,6,6,6,1,4,2,2
173,SME,49,Female,"College degree, bachelor, master",College degree,Mexico,0,29,6,6,5,6,6,31,6,6,6,6,1,6,6
174,SAR,33,Male,"College degree, bachelor, master",College degree,Argentina,1,10,2,2,2,2,2,20,4,2,1,6,1,6,6
175,SAR,65,Male,None,Up to 6 years of school,Argentina,1,25,5,5,5,5,5,20,4,2,5,2,5,2,2
177,SAR,18,Female,Up to 12 years of school,Up to 6 years of school,Argentina,2,25,5,5,5,5,5,26,5,5,5,2,4,5,5
179,BG,59,Female,Up to 12 years of school,Up to 12 years of school,Bulgaria,0,30,6,6,6,6,6,28,6,6,6,1,3,6,6
180,BG,61,Female,"College degree, bachelor, master",Up to 9 years of school,Bulgaria,1,14,2,2,3,3,4,22,5,5,4,3,4,1,1
181,IT,53,Male,"College degree, bachelor, master",Up to 12 years of school,Italy,NA,22,4,4,4,5,5,23,5,6,5,3,2,2,2
182,TR,30,Female,PhD/Doctorate,College degree,Turkey,3,17,3,5,2,5,2,23,5,4,4,2,3,5,5
183,BG,56,Female,"College degree, bachelor, master",College degree,Bulgaria,1,7,1,1,1,3,1,25,6,6,6,1,4,2,2
184,SAR,44,Male,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,0,23,4,5,4,5,5,30,4,6,6,2,6,6,6
185,EN,40,Female,PhD/Doctorate,PhD/Doctorate,Sweden,1,27,5,5,5,6,6,20,6,3,5,2,1,3,3
186,BG,59,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Bulgaria,0,9,1,3,2,1,2,19,2,5,4,4,2,2,2
187,RO,24,Female,"College degree, bachelor, master",Up to 12 years of school,Romania,1,30,6,6,6,6,6,25,6,6,6,1,4,2,2
188,SME,41,Female,PhD/Doctorate,None,Mexico,3,26,5,6,5,5,5,24,6,6,5,2,3,2,2
189,SAR,43,Female,NA,NA,Argentina,3,19,4,3,3,4,5,26,5,5,5,5,4,2,2
190,BG,62,Female,"College degree, bachelor, master",Some College or equivalent,Bulgaria,1,15,4,4,3,NA,4,27,5,5,5,5,3,4,4
191,SV,33,Male,"College degree, bachelor, master",College degree,Sweden,0,19,5,4,4,2,4,21,5,4,3,4,3,2,2
192,SAR,25,Female,Up to 12 years of school,Up to 9 years of school,Argentina,2,24,2,6,6,5,5,16,NA,5,6,2,1,2,2
193,BG,70,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Bulgaria,1,24,4,6,5,5,4,23,5,5,5,2,4,2,2
194,BG,46,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,NA,9,1,2,2,2,2,26,5,5,5,5,5,1,1
195,BG,57,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Bulgaria,0,21,5,5,5,3,3,29,5,6,6,5,6,1,1
